DeMarre Carroll,Toronto Raptors,2016,"$13,500,000"
Kyle Lowry,Toronto Raptors,2016,"$12,000,000"
DeMar DeRozan,Toronto Raptors,2016,"$9,500,000"
Cory Joseph,Toronto Raptors,2016,"$7,000,000"
Patrick Patterson,Toronto Raptors,2016,"$6,268,675"
Jonas Valanciunas,Toronto Raptors,2016,"$4,660,482"
Terrence Ross,Toronto Raptors,2016,"$3,553,917"
Bismack Biyombo,Toronto Raptors,2016,"$3,000,000"
Luis Scola,Toronto Raptors,2016,"$3,000,000"
James Johnson,Toronto Raptors,2016,"$2,500,000"
Lucas Nogueira,Toronto Raptors,2016,"$1,842,000"
Bruno Caboclo,Toronto Raptors,2016,"$1,524,000"
Delon Wright,Toronto Raptors,2016,"$1,509,360"
Anthony Bennett,Toronto Raptors,2016,"$947,276"
Norman Powell,Toronto Raptors,2016,"$650,000"
Jason Thompson,Toronto Raptors,2016,"$328,955"
Ronald Roberts,Toronto Raptors,2016,"$75,000"
Shannon Scott,Toronto Raptors,2016,"$25,000"
Axel Toupane,Toronto Raptors,2016,"$25,000"
Michale Kyser,Toronto Raptors,2016,"$25,000"
Nikola Vucevic,Orlando Magic,2016,"$11,250,000"
Brandon Jennings,Orlando Magic,2016,"$8,344,497"
Ersan Ilyasova,Orlando Magic,2016,"$7,900,000"
Victor Oladipo,Orlando Magic,2016,"$5,192,520"
C.J. Watson,Orlando Magic,2016,"$5,000,000"
Jason Smith,Orlando Magic,2016,"$4,300,000"
Aaron Gordon,Orlando Magic,2016,"$4,171,680"
Mario Hezonja,Orlando Magic,2016,"$3,741,480"
Elfrid Payton,Orlando Magic,2016,"$2,505,720"
Andrew Nicholson,Orlando Magic,2016,"$2,380,594"
Evan Fournier,Orlando Magic,2016,"$2,288,205"
Shabazz Napier,Orlando Magic,2016,"$1,294,440"
Chris Copeland,Orlando Magic,2016,"$1,100,000"
Jared Cunningham,Orlando Magic,2016,"$981,348"
Dewayne Dedmon,Orlando Magic,2016,"$947,278"
Devyn Marble,Orlando Magic,2016,"$845,059"
Joe Harris,Orlando Magic,2016,"$845,059"
Keith Appling,Orlando Magic,2016,"$161,776"
Jordan Sibert,Orlando Magic,2016,"$100,000"
John Wall,Washington Wizards,2016,"$15,851,950"
Nene Hilario,Washington Wizards,2016,"$13,000,000"
Marcin Gortat,Washington Wizards,2016,"$11,217,391"
Markieff Morris,Washington Wizards,2016,"$8,000,000"
Bradley Beal,Washington Wizards,2016,"$5,694,674"
Martell Webster,Washington Wizards,2016,"$5,613,500"
Otto Porter,Washington Wizards,2016,"$4,662,960"
Jared Dudley,Washington Wizards,2016,"$4,250,000"
Alan Anderson,Washington Wizards,2016,"$4,000,000"
Drew Gooden,Washington Wizards,2016,"$3,300,000"
Ramon Sessions,Washington Wizards,2016,"$2,170,465"
Gary Neal,Washington Wizards,2016,"$2,100,000"
Kelly Oubre,Washington Wizards,2016,"$1,920,240"
Garrett Temple,Washington Wizards,2016,"$1,100,602"
Jarell Eddie,Washington Wizards,2016,"$561,716"
J.J. Hickson,Washington Wizards,2016,"$366,337"
Marcus Thornton,Washington Wizards,2016,"$251,107"
Ryan Hollins,Washington Wizards,2016,"$176,375"
Al Jefferson,Charlotte Hornets,2016,"$13,833,333"
Nicolas Batum,Charlotte Hornets,2016,"$12,235,750"
Kemba Walker,Charlotte Hornets,2016,"$12,000,000"
Marvin Williams,Charlotte Hornets,2016,"$7,000,000"
Michael Kidd-Gilchrist,Charlotte Hornets,2016,"$6,331,404"
Courtney Lee,Charlotte Hornets,2016,"$5,675,000"
Spencer Hawes,Charlotte Hornets,2016,"$5,543,725"
Cody Zeller,Charlotte Hornets,2016,"$4,204,200"
Jeremy Lamb,Charlotte Hornets,2016,"$3,034,356"
Frank Kaminsky,Charlotte Hornets,2016,"$2,612,500"
Jeremy Lin,Charlotte Hornets,2016,"$2,100,000"
Tyler Hansbrough,Charlotte Hornets,2016,"$1,185,784"
Troy Daniels,Charlotte Hornets,2016,"$947,276"
Aaron Harrison,Charlotte Hornets,2016,"$525,093"
Jorge Gutierrez,Charlotte Hornets,2016,"$301,444"
Elliot Williams,Charlotte Hornets,2016,"$80,000"
Paul Millsap,Atlanta Hawks,2016,"$19,000,000"
Al Horford,Atlanta Hawks,2016,"$12,000,000"
Tiago Splitter,Atlanta Hawks,2016,"$8,500,000"
Jeff Teague,Atlanta Hawks,2016,"$8,000,000"
Kyle Korver,Atlanta Hawks,2016,"$5,746,479"
Thabo Sefolosha,Atlanta Hawks,2016,"$4,000,000"
Mike Scott,Atlanta Hawks,2016,"$3,333,333"
Kirk Hinrich,Atlanta Hawks,2016,"$2,870,000"
Kent Bazemore,Atlanta Hawks,2016,"$2,000,000"
Dennis Schroder,Atlanta Hawks,2016,"$1,763,400"
Tim Hardaway,Atlanta Hawks,2016,"$1,304,520"
Walter Tavares,Atlanta Hawks,2016,"$1,000,000"
Mike Muscala,Atlanta Hawks,2016,"$947,276"
Lamar Patterson,Atlanta Hawks,2016,"$525,093"
Kris Humphries,Atlanta Hawks,2016,"$388,025"
Terran Petteway,Atlanta Hawks,2016,"$75,000"
Chris Bosh,Miami Heat,2016,"$22,192,730"
Dwyane Wade,Miami Heat,2016,"$20,000,000"
Goran Dragic,Miami Heat,2016,"$14,780,000"
Luol Deng,Miami Heat,2016,"$10,151,612"
Josh McRoberts,Miami Heat,2016,"$5,543,725"
Udonis Haslem,Miami Heat,2016,"$2,854,940"
Justise Winslow,Miami Heat,2016,"$2,481,720"
Greg Monroe,Milwaukee Bucks,2016,"$16,400,000"
Khris Middleton,Milwaukee Bucks,2016,"$15,000,000"
O.J. Mayo,Milwaukee Bucks,2016,"$8,000,000"
Greivis Vasquez,Milwaukee Bucks,2016,"$6,600,000"
Jabari Parker,Milwaukee Bucks,2016,"$5,152,440"
Jerryd Bayless,Milwaukee Bucks,2016,"$3,000,000"
John Henson,Milwaukee Bucks,2016,"$2,943,221"
Michael Carter-Williams,Milwaukee Bucks,2016,"$2,399,040"
Miles Plumlee,Milwaukee Bucks,2016,"$2,109,294"
Giannis Antetokounmpo,Milwaukee Bucks,2016,"$1,953,960"
Larry Sanders,Milwaukee Bucks,2016,"$1,865,547"
Rashad Vaughn,Milwaukee Bucks,2016,"$1,733,040"
Tyler Ennis,Milwaukee Bucks,2016,"$1,662,360"
Damien Inglis,Milwaukee Bucks,2016,"$855,000"
Johnny O'Bryant,Milwaukee Bucks,2016,"$845,059"
Steve Novak,Milwaukee Bucks,2016,"$416,886"
Jared Cunningham,Milwaukee Bucks,2016,"$57,726"
Derrick Rose,Chicago Bulls,2016,"$20,093,063"
Jimmy Butler,Chicago Bulls,2016,"$15,260,000"
Joakim Noah,Chicago Bulls,2016,"$13,400,000"
Taj Gibson,Chicago Bulls,2016,"$8,500,000"
Pau Gasol,Chicago Bulls,2016,"$7,448,760"
Nikola Mirotic,Chicago Bulls,2016,"$5,543,725"
Mike Dunleavy,Chicago Bulls,2016,"$4,500,000"
Doug McDermott,Chicago Bulls,2016,"$2,380,440"
Aaron Brooks,Chicago Bulls,2016,"$2,000,000"
Tony Snell,Chicago Bulls,2016,"$1,535,880"
Bobby Portis,Chicago Bulls,2016,"$1,391,160"
E'Twaun Moore,Chicago Bulls,2016,"$1,015,421"
Justin Holiday,Chicago Bulls,2016,"$947,300"
Cameron Bairstow,Chicago Bulls,2016,"$845,059"
Cristiano Felicio,Chicago Bulls,2016,"$525,090"
Tobias Harris,Detroit Pistons,2016,"$16,000,000"
Reggie Jackson,Detroit Pistons,2016,"$14,000,000"
Aron Baynes,Detroit Pistons,2016,"$6,500,000"
Jodie Meeks,Detroit Pistons,2016,"$6,270,000"
Josh Smith,Detroit Pistons,2016,"$5,400,000"
Marcus Morris,Detroit Pistons,2016,"$5,000,000"
Andre Drummond,Detroit Pistons,2016,"$3,272,091"
Anthony Tolliver,Detroit Pistons,2016,"$3,000,000"
Kentavious Caldwell-Pope,Detroit Pistons,2016,"$2,891,760"
Stanley Johnson,Detroit Pistons,2016,"$2,841,960"
Joel Anthony,Detroit Pistons,2016,"$2,500,000"
Danny Granger,Detroit Pistons,2016,"$2,170,465"
Steve Blake,Detroit Pistons,2016,"$2,170,465"
Cartier Martin,Detroit Pistons,2016,"$1,270,964"
Reggie Bullock,Detroit Pistons,2016,"$1,252,440"
Spencer Dinwiddie,Detroit Pistons,2016,"$845,059"
Darrun Hilliard,Detroit Pistons,2016,"$525,093"
Aaron Gray,Detroit Pistons,2016,"$452,059"
Lorenzo Brown,Detroit Pistons,2016,"$117,016"
Justin Harper,Detroit Pistons,2016,"$99,418"
Adonis Thomas,Detroit Pistons,2016,"$60,000"
Paul George,Indiana Pacers,2016,"$17,120,106"
Monta Ellis,Indiana Pacers,2016,"$10,300,000"
George Hill,Indiana Pacers,2016,"$8,000,000"
Rodney Stuckey,Indiana Pacers,2016,"$6,500,000"
Chase Budinger,Indiana Pacers,2016,"$5,000,000"
C.J. Miles,Indiana Pacers,2016,"$4,394,225"
Jordan Hill,Indiana Pacers,2016,"$4,000,000"
Ian Mahinmi,Indiana Pacers,2016,"$4,000,000"
Lavoy Allen,Indiana Pacers,2016,"$3,700,000"
Myles Turner,Indiana Pacers,2016,"$2,357,760"
Solomon Hill,Indiana Pacers,2016,"$1,358,880"
Rakeem Christmas,Indiana Pacers,2016,"$1,000,000"
Joseph Young,Indiana Pacers,2016,"$1,000,000"
Shayne Whittington,Indiana Pacers,2016,"$845,059"
Glenn Robinson,Indiana Pacers,2016,"$845,000"
Toney Douglas,Indiana Pacers,2016,"$600,000"
Ty Lawson,Indiana Pacers,2016,"$265,058"
LeBron James,Cleveland Cavaliers,2016,"$22,971,000"
Kevin Love,Cleveland Cavaliers,2016,"$19,500,000"
Kyrie Irving,Cleveland Cavaliers,2016,"$14,746,000"
Tristan Thompson,Cleveland Cavaliers,2016,"$14,260,870"
Iman Shumpert,Cleveland Cavaliers,2016,"$9,000,000"
Channing Frye,Cleveland Cavaliers,2016,"$7,807,579"
